"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2013","0.36","0.35","0.37","0.35","5.23B","2.86%"
"06/01/2013","0.35","0.36","0.39","0.35","9.30B","-2.78%"
"05/01/2013","0.36","0.34","0.37","0.34","8.29B","5.88%"
"04/01/2013","0.34","0.32","0.34","0.30","9.39B","6.25%"
"03/01/2013","0.32","0.31","0.33","0.31","6.61B","0.00%"
"02/01/2013","0.32","0.31","0.32","0.30","9.90B","3.23%"
"01/01/2013","0.31","0.31","0.33","0.30","9.18B","0.00%"
"12/01/2012","0.31","0.30","0.32","0.29","8.04B","3.33%"
"11/01/2012","0.30","0.30","0.33","0.28","9.99B","0.00%"
"10/01/2012","0.30","0.34","0.34","0.30","8.14B","-9.09%"
"09/01/2012","0.33","0.34","0.35","0.32","8.75B","-5.71%"
"08/01/2012","0.35","0.34","0.38","0.33","9.92B","2.94%"
"07/01/2012","0.34","0.35","0.35","0.30","8.50B","-2.86%"
"06/01/2012","0.35","0.30","0.35","0.29","11.53B","12.90%"
"05/01/2012","0.31","0.32","0.34","0.30","11.37B","-6.06%"
"04/01/2012","0.33","0.38","0.39","0.32","9.55B","-13.16%"
"03/01/2012","0.38","0.38","0.39","0.36","10.33B","0.00%"
"02/01/2012","0.38","0.37","0.42","0.37","13.08B","2.70%"
"01/01/2012","0.37","0.36","0.38","0.34","11.60B","5.71%"
"12/01/2011","0.35","0.39","0.40","0.33","9.74B","-10.26%"
"11/01/2011","0.39","0.36","0.39","0.34","16.17B","5.41%"
"10/01/2011","0.37","0.31","0.40","0.29","14.85B","19.35%"
"09/01/2011","0.31","0.34","0.40","0.31","20.09B","-6.06%"
"08/01/2011","0.33","0.35","0.38","0.29","22.57B","-5.71%"
"07/01/2011","0.35","0.40","0.41","0.34","14.55B","-12.50%"
"06/01/2011","0.40","0.50","0.50","0.37","15.96B","-20.00%"
"05/01/2011","0.50","0.51","0.51","0.43","17.17B","0.00%"
"04/01/2011","0.50","0.47","0.51","0.42","15.33B","8.70%"
"03/01/2011","0.46","0.57","0.57","0.43","27.60B","-19.30%"
"02/01/2011","0.57","0.60","0.65","0.54","24.03B","-5.00%"
"01/01/2011","0.60","0.39","0.63","0.39","32.74B","53.85%"
"12/01/2010","0.39","0.35","0.39","0.35","11.21B","14.71%"
"11/01/2010","0.34","0.30","0.35","0.30","14.54B","13.33%"
"10/01/2010","0.30","0.30","0.31","0.26","15.81B","3.45%"
"09/01/2010","0.29","0.24","0.31","0.23","17.53B","26.09%"
"08/01/2010","0.23","0.23","0.26","0.22","19.42B","0.00%"
"07/01/2010","0.23","0.26","0.29","0.22","19.24B","-11.54%"
"06/01/2010","0.26","0.32","0.33","0.26","13.69B","-21.21%"
"05/01/2010","0.33","0.39","0.40","0.30","20.77B","-15.38%"
"04/01/2010","0.39","0.44","0.45","0.39","17.11B","-9.30%"
"03/01/2010","0.43","0.41","0.46","0.40","11.75B","4.88%"
"02/01/2010","0.41","0.39","0.45","0.38","12.86B","7.89%"
"01/01/2010","0.38","0.46","0.47","0.38","12.90B","-19.15%"
"12/01/2009","0.47","0.33","0.47","0.33","16.37B","42.42%"
"11/01/2009","0.33","0.30","0.35","0.29","12.86B","10.00%"
"10/01/2009","0.30","0.37","0.37","0.30","15.52B","-21.05%"
"09/01/2009","0.38","0.36","0.41","0.35","12.08B","5.56%"
"08/01/2009","0.36","0.33","0.38","0.32","13.23B","12.50%"
"07/01/2009","0.32","0.28","0.33","0.24","16.00B","14.29%"
"06/01/2009","0.28","0.26","0.30","0.25","14.68B","7.69%"
"05/01/2009","0.26","0.29","0.31","0.21","21.41B","-10.34%"
"04/01/2009","0.29","0.24","0.30","0.23","17.63B","16.00%"
"03/01/2009","0.25","0.20","0.30","0.19","22.19B","19.05%"
"02/01/2009","0.21","0.20","0.25","0.18","16.30B","5.00%"
"01/01/2009","0.20","0.20","0.24","0.18","15.27B","0.00%"
"12/01/2008","0.20","0.18","0.24","0.17","11.71B","5.26%"
"11/01/2008","0.19","0.22","0.23","0.14","12.21B","-13.64%"
"10/01/2008","0.22","0.26","0.27","0.15","20.47B","-18.52%"
"09/01/2008","0.27","0.32","0.32","0.22","19.74B","-15.62%"
"08/01/2008","0.32","0.28","0.35","0.26","18.65B","10.34%"
"07/01/2008","0.29","0.46","0.47","0.27","22.78B","-38.30%"
"06/01/2008","0.47","0.62","0.63","0.46","17.18B","-24.19%"
"05/01/2008","0.62","0.52","0.63","0.52","20.40B","21.57%"
"04/01/2008","0.51","0.51","0.53","0.44","16.63B","4.08%"
"03/01/2008","0.49","0.53","0.54","0.43","15.94B","-7.55%"
"02/01/2008","0.53","0.61","0.69","0.53","13.63B","-13.11%"
"01/01/2008","0.61","0.85","0.86","0.56","15.50B","-28.24%"
"12/01/2007","0.85","0.80","0.91","0.78","7.58B","7.59%"
"11/01/2007","0.79","0.87","0.95","0.73","12.06B","-10.23%"
"10/01/2007","0.88","0.91","0.99","0.81","10.67B","-3.30%"
"09/01/2007","0.91","0.86","0.93","0.80","9.49B","7.06%"
"08/01/2007","0.85","0.75","0.86","0.68","15.71B","11.84%"
"07/01/2007","0.76","0.70","0.80","0.70","10.43B","10.14%"
"06/01/2007","0.69","0.58","0.73","0.57","14.48B","18.97%"
"05/01/2007","0.58","0.56","0.60","0.54","12.96B","5.45%"
"04/01/2007","0.55","0.48","0.57","0.47","13.54B","14.58%"
"03/01/2007","0.48","0.51","0.53","0.47","14.86B","-7.69%"
"02/01/2007","0.52","0.51","0.58","0.51","13.53B","1.96%"
"01/01/2007","0.51","0.62","0.63","0.50","17.08B","-17.74%"
"12/01/2006","0.62","0.61","0.65","0.58","10.03B","0.00%"
"11/01/2006","0.62","0.57","0.62","0.53","13.47B","6.90%"
"10/01/2006","0.58","0.49","0.58","0.46","13.57B","18.37%"
"09/01/2006","0.49","0.48","0.52","0.44","11.53B","0.00%"
"08/01/2006","0.49","0.36","0.49","0.35","16.27B","32.43%"
"07/01/2006","0.37","0.36","0.38","0.29","12.17B","5.71%"
"06/01/2006","0.35","0.39","0.41","0.32","12.31B","-7.89%"
"05/01/2006","0.38","0.49","0.53","0.38","14.40B","-22.45%"
"04/01/2006","0.49","0.48","0.51","0.46","13.41B","2.08%"
"03/01/2006","0.48","0.39","0.49","0.39","15.80B","23.08%"
"02/01/2006","0.39","0.37","0.42","0.36","11.91B","5.41%"
"01/01/2006","0.37","0.31","0.39","0.31","9.52B","23.33%"
"12/01/2005","0.30","0.30","0.32","0.30","7.66B","0.00%"
"11/01/2005","0.30","0.28","0.32","0.27","13.21B","7.14%"
"10/01/2005","0.28","0.29","0.30","0.25","9.39B","-3.45%"
"09/01/2005","0.29","0.25","0.29","0.25","11.12B","11.54%"
"08/01/2005","0.26","0.23","0.26","0.23","14.60B","13.04%"
"07/01/2005","0.23","0.22","0.24","0.21","13.70B","4.55%"
"06/01/2005","0.22","0.22","0.24","0.21","16.34B","-4.35%"
"05/01/2005","0.23","0.18","0.23","0.18","14.35B","27.78%"
"04/01/2005","0.18","0.20","0.20","0.17","9.83B","-10.00%"
"03/01/2005","0.20","0.24","0.25","0.20","15.17B","-16.67%"
"02/01/2005","0.24","0.19","0.24","0.19","17.52B","26.32%"
"01/01/2005","0.19","0.20","0.21","0.17","13.74B","-5.00%"
"12/01/2004","0.20","0.16","0.21","0.16","17.71B","25.00%"
"11/01/2004","0.16","0.12","0.17","0.12","18.52B","33.33%"
"10/01/2004","0.12","0.12","0.13","0.11","16.38B","0.00%"
"09/01/2004","0.12","0.10","0.13","0.10","15.64B","20.00%"
"08/01/2004","0.10","0.13","0.13","0.08","22.66B","-23.08%"
"07/01/2004","0.13","0.17","0.17","0.12","11.75B","-23.53%"
"06/01/2004","0.17","0.19","0.20","0.16","9.60B","-15.00%"
"05/01/2004","0.20","0.17","0.20","0.17","10.31B","17.65%"
"04/01/2004","0.17","0.22","0.23","0.17","12.37B","-22.73%"
"03/01/2004","0.22","0.18","0.22","0.17","13.20B","15.79%"
"02/01/2004","0.19","0.19","0.20","0.18","11.89B","0.00%"
"01/01/2004","0.19","0.20","0.22","0.18","12.42B","0.00%"
"12/01/2003","0.19","0.18","0.20","0.16","12.35B","5.56%"
"11/01/2003","0.18","0.15","0.18","0.15","18.25B","20.00%"
"10/01/2003","0.15","0.13","0.16","0.13","13.84B","15.38%"
"09/01/2003","0.13","0.15","0.18","0.13","23.62B","-13.33%"
"08/01/2003","0.15","0.16","0.18","0.13","21.91B","-6.25%"
"07/01/2003","0.16","0.19","0.21","0.15","19.95B","-15.79%"
"06/01/2003","0.19","0.22","0.23","0.18","23.28B","-13.64%"
"05/01/2003","0.22","0.12","0.22","0.12","37.56B","83.33%"
"04/01/2003","0.12","0.11","0.12","0.11","12.62B","9.09%"
"03/01/2003","0.11","0.11","0.12","0.10","18.01B","0.00%"
"02/01/2003","0.11","0.09","0.11","0.08","21.35B","22.22%"
"01/01/2003","0.09","0.10","0.12","0.08","23.64B","-10.00%"
"12/01/2002","0.10","0.15","0.15","0.09","22.01B","-28.57%"
"11/01/2002","0.14","0.10","0.15","0.09","34.15B","40.00%"
"10/01/2002","0.10","0.07","0.10","0.06","18.43B","42.86%"
"09/01/2002","0.07","0.08","0.10","0.07","17.89B","-12.50%"
"08/01/2002","0.08","0.09","0.11","0.07","24.18B","-11.11%"
"07/01/2002","0.09","0.14","0.19","0.09","32.55B","-35.71%"
"06/01/2002","0.14","0.27","0.28","0.14","28.90B","-50.00%"
"05/01/2002","0.28","0.29","0.34","0.26","27.82B","-3.45%"
"04/01/2002","0.29","0.35","0.37","0.25","32.12B","-21.62%"
"03/01/2002","0.37","0.43","0.50","0.35","27.08B","-13.95%"
"02/01/2002","0.43","0.55","0.55","0.41","31.08B","-21.82%"
"01/01/2002","0.55","0.56","0.61","0.50","23.59B","-1.79%"
"12/01/2001","0.56","0.45","0.59","0.44","17.65B","21.74%"
"11/01/2001","0.46","0.36","0.47","0.36","29.01B","27.78%"
"10/01/2001","0.36","0.23","0.42","0.19","26.41B","56.52%"
"09/01/2001","0.23","0.35","0.35","0.21","21.18B","-34.29%"
"08/01/2001","0.35","0.34","0.38","0.33","29.94B","2.94%"
"07/01/2001","0.34","0.37","0.38","0.28","21.62B","-12.82%"
"06/01/2001","0.39","0.36","0.42","0.35","20.18B","8.33%"
"05/01/2001","0.36","0.35","0.42","0.31","28.06B","2.86%"
"04/01/2001","0.35","0.27","0.37","0.22","31.12B","29.63%"
"03/01/2001","0.27","0.18","0.30","0.17","28.94B","42.11%"
"02/01/2001","0.19","0.22","0.25","0.17","11.69B","-13.64%"
"01/01/2001","0.22","0.14","0.24","0.12","10.73B","57.14%"
"12/01/2000","0.14","0.18","0.21","0.11","14.47B","-17.65%"
"11/01/2000","0.17","0.25","0.33","0.15","8.68B","-34.62%"
"10/01/2000","0.26","0.35","0.36","0.22","8.84B","-23.53%"
"09/01/2000","0.34","0.34","0.36","0.26","5.87B","3.03%"
"08/01/2000","0.33","0.25","0.34","0.23","6.08B","32.00%"
"07/01/2000","0.25","0.27","0.32","0.21","7.28B","-3.85%"
"06/01/2000","0.26","0.24","0.37","0.24","13.27B","8.33%"
"05/01/2000","0.24","0.19","0.25","0.16","8.70B","26.32%"
"04/01/2000","0.19","0.17","0.23","0.12","6.48B","5.56%"
"03/01/2000","0.18","0.13","0.31","0.12","17.55B","38.46%"
"02/01/2000","0.13","0.08","0.14","0.07","9.16B","62.50%"
"01/01/2000","0.08","0.10","0.10","0.07","4.94B","-20.00%"
"12/01/1999","0.10","0.07","0.10","0.07","4.92B","42.86%"
"11/01/1999","0.07","0.05","0.09","0.05","13.93B","40.00%"
"10/01/1999","0.05","0.04","0.05","0.04","7.95B","25.00%"
"09/01/1999","0.04","0.06","0.06","0.03","6.99B","-33.33%"
"08/01/1999","0.06","0.04","0.06","0.04","7.89B","50.00%"
"07/01/1999","0.04","0.04","0.05","0.04","3.77B","0.00%"
"06/01/1999","0.04","0.04","0.04","0.03","2.37B","0.00%"
"05/01/1999","0.04","0.04","0.04","0.03","2.48B","0.00%"
"04/01/1999","0.04","0.04","0.05","0.03","1.77B","0.00%"
"03/01/1999","0.04","0.05","0.05","0.04","2.01B","-20.00%"
"02/01/1999","0.05","0.04","0.05","0.04","3.15B","25.00%"
